family,genus,species
Serranidae,Cephalopholis,Cephalopholis fulva
Haemulidae,Haemulon,Haemulon plumierii
Balistidae,Balistes,Balistes vetula
Labridae,Thalassoma,Thalassoma bifasciatum
Labridae,Bodianus,Bodianus rufus
Haemulidae,Anisotremus,Anisotremus virginicus
Lutjanidae,Lutjanus,Lutjanus mahogoni
Grammatidae,Gramma,Gramma loreto
Pomacanthidae,Holacanthus,Holacanthus tricolor
Balistidae,Melichthys,Melichthys niger
Scaridae,Scarus,Scarus spp
Lutjanidae,Lutjanus,Lutjanus synagris
Haemulidae,Haemulon,Haemulon flavolineatum
Carangidae,Caranx,Caranx ruber
Scorpaenidae,Pterois,Pterois spp
Scaridae,Sparisoma,Sparisoma aurofrenatum
Haemulidae,Haemulon,Haemulon sciurus
Haemulidae,Haemulon,Haemulon carbonarium
Lutjanidae,Ocyurus,Ocyurus chrysurus
Pomacentridae,Abudefduf,Abudefduf saxatilis
Pomacanthidae,Pomacanthus,Pomacanthus paru
Haemulidae,Haemulon,Haemulon aurolineatum
Haemulidae,Haemulon,Haemulon album
Balistidae,Balistes,Balistes
Sphyraenidae,Sphyraena,Sphyraena barracuda
Pomacanthidae,Holacanthus,Holacanthus ciliaris
Haemulidae,Haemulon,Haemulon striatum
Lutjanidae,Lutjanus,Lutjanus analis
Lutjanidae,Lutjanus,Lutjanus jocu
Pomacentridae,Microspathodon,Microspathodon chrysurus
Haemulidae,Haemulon,Haemulon melanurum
Pomacanthidae,Pomacanthus,Pomacanthus arcuatus
Haemulidae,Anisotremus,Anisotremus surinamensis
Haemulidae,Haemulon,Haemulon parra
Serranidae,Epinephelus,Epinephelus striatus
Sparidae,Calamus,Calamus spp
Lutjanidae,Lutjanus,Lutjanus cyanopterus
Scaridae,Scarus,Scarus coelestinus
Scaridae,Scarus,Scarus vetula
Haemulidae,Haemulon,Haemulon chrysargyreum
Balistidae,Canthidermis,Canthidermis sufflamen
Serranidae,Mycteroperca,Mycteroperca phenax
Serranidae,Epinephelus,Epinephelus guttatus
Serranidae,Mycteroperca,Mycteroperca tigris
Serranidae,Mycteroperca,Mycteroperca bonaci
Scombridae,Scomberomorus,Scomberomorus spp
Lutjanidae,Lutjanus,Lutjanus spp
Gerreidae,Gerres,Gerres cinereus
Serranidae,Epinephelus,Epinephelus morio
Dasyatidae,Dasyatis,Dasyatis americana
Carangidae,Caranx,Caranx crysos
Serranidae,Mycteroperca,Mycteroperca interstitialis
Haemulidae,Haemulon,Haemulon macrostomum
Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum
Carangidae,Caranx,Caranx bartholomaei
Scombridae,Scomberomorus,Scomberomorus regalis
Aetobatidae,Aetobatus,Aetobatus narinari
Scaridae,Scarus,Scarus coeruleus
Scaridae,Scarus,Scarus guacamaia
Carangidae,Trachinotus,Trachinotus falcatus
Serranidae,Mycteroperca,Mycteroperca venenosa
Pomacanthidae,Holacanthus,Holacanthus bermudensis
Labridae,Halichoeres,Halichoeres garnoti
Labridae,Clepticus,Clepticus parrae
Pomacentridae,Chromis,Chromis cyanea
Chaetodontidae,Prognathodes,Prognathodes aculeatus
Acanthuridae,Acanthurus,Acanthurus coeruleus
Acanthuridae,Acanthurus,Acanthurus tractus
Chaetodontidae,Chaetodon,Chaetodon capistratus
Pempheridae,Pempheris,Pempheris schomburgkii
Serranidae,Epinephelus,Epinephelus adscensionis
Holocentridae,Holocentrus,Holocentrus adscensionis
Serranidae,Epinephelus,Epinephelus cruentatus
Kyphosidae,Kyphosus,Kyphosus sectatrix
